timestamp,Screenname,text
2017-03-01 19:37:51 +0000,MerolaTile,"RT @REVASHELF: A2: You can't possibly #travel everywhere at once! Be #inspired by your friends adventures and know you inspire them, too! #â€_"
2017-03-01 19:37:36 +0000,MerolaTile,"RT @WellbornCabinet: A1: Traveling allows your imagination to explore architect, nature, and beauty all over the world to allow design inspâ€_"
2017-03-01 19:35:31 +0000,MerolaTile,"@KBtribechat We are HUGE fans of Houzz, but love seeing all the articles floating around Twitter too! #kbtribechat"
2017-03-01 18:01:30 +0000,MerolaTile,This simple but cozy house is so dreamy... https://t.co/ZXObIIXZjX #houzz #architecture #interiordesign https://t.co/iw2RGmODcY
2017-03-01 17:29:26 +0000,MerolaTile,RT @PTMImages: Change Your Bedroom Design with These Bold Decor Ideas https://t.co/wftp80scCV via @Homedsgnideas https://t.co/GILVtAyxwY
2017-03-01 16:05:27 +0000,MerolaTile,RT @IKEAUK: A sustainable life at home should be easy. @BritishVogue picks this as one of the trends for 2017. https://t.co/eaXQ1g401d
2017-03-01 16:02:17 +0000,MerolaTile,RT @sage_conltd: #Redesigning a #kitchen this year? We can guide you through the process to make it stress-free and #vfm. https://t.co/qRlxâ€_
2017-03-01 16:02:03 +0000,MerolaTile,RT @NKInteriors: Happy Monday! Here's to a fab week ahead _Ÿ‘ç https://t.co/oUqpKdsH0H
2017-03-01 15:55:41 +0000,MerolaTile,RT @BstArchti: Please RT if you like!! #architecture #design #architects #interiordesign Southpaw Residence /... https://t.co/Q3VcYd1IfU htâ€_
2017-03-01 15:52:35 +0000,MerolaTile,"RT @FiestaKitchen: Creative bedrooms that can truly be described as relaxing. For some that may be opulence and grandeur, for others stylisâ€_"
2017-03-01 15:50:32 +0000,MerolaTile,RT @anchorhomesaus: 4 of the Best Kitchen Layouts for Your New Home https://t.co/4lXQdy3vNG by @anchorhomesaus #kitchen #interiors #interioâ€_
2017-03-01 15:49:35 +0000,MerolaTile,RT @IntlDesignGuild: Looking to decorate with beige? See how this often-underappreciated color can make an impact in a room! https://t.co/tâ€_
2017-03-01 15:48:43 +0000,MerolaTile,Great resource for renovation basics! Worth a visit if you're new to construction/renovation work! #architecture #DIY #interiordesign https://t.co/rgQFDiyZFg
2017-03-01 15:44:46 +0000,MerolaTile,Thanks for joining our conversation! @Tiles_Adila @ProstoneLtd @UKTilesDirect @CopleyLtd @FloorstylesD
2017-03-01 15:43:47 +0000,MerolaTile,Thanks for the follow! Hope you're having a great week :) @monograph_io @NewVistaChina @HardwoodContra @prima_ltd @CreativeChic_
2017-02-28 17:30:43 +0000,MerolaTile,"The new line, Rainforest, has arrived! Click over to our FB for more details: https://t.co/m7OXqQ87mT https://t.co/2TUkmhwdG6"
2017-02-28 15:20:17 +0000,MerolaTile,Dreaming of a cozy nautical home? Check out @marnieoursler 's tips to achieving the perfect coastal cottage! https://t.co/2UhRHvhn2l #hgtv https://t.co/hCA7lalhhL
2017-02-27 21:02:13 +0000,MerolaTile,RT @archanddecor: Please RT! #decoration #interiordesign A Classic Bathroom With A Modern Twist https://t.co/slRgBshTfj https://t.co/nkZGb8â€_
2017-02-27 21:00:22 +0000,MerolaTile,RT @MerolaTileNY: Who else can't wait for warmer weather? This beachy house from Newport Beach will have you craving some summer sun! httpsâ€_
2017-02-27 20:59:58 +0000,MerolaTile,RT @MerolaTileNY: Axis Cream 12x24s are sure to be the perfect piece to finish your project! #interiordesign https://t.co/QVSq0RxByg
2017-02-27 17:40:08 +0000,MerolaTile,"Channel the tropics with our new wood-look porcelain, Rainforest! #interiors #interiordesign https://t.co/LmZIvDx1jk"
2017-02-27 16:00:37 +0000,MerolaTile,RT @DecoratinIdeas: Please RT  #interiordesign #decoration #architecture #home sitting pretty. https://t.co/JPJFmgvhsu https://t.co/6igtdzUâ€_
2017-02-27 16:00:12 +0000,MerolaTile,"RT @TileDistinctive: "" #Hazelnut is a transitional color that effortlessly connects the seasons."" #mosaicmonday @LunadaBayTile #spring #sumâ€_"
2017-02-27 15:50:25 +0000,MerolaTile,RT @marnieoursler: Need a little inspo for #NationalTileDay? Head over to the blog for 16 of my faves: https://t.co/JsD2DsbzDS https://t.coâ€_
2017-02-27 15:19:08 +0000,MerolaTile,RT @tsjmag: Seven striking marble-effects in a choice of 12 formats: https://t.co/X7ZwKYxJpQ https://t.co/GXL3nkWVAf
2017-02-27 15:17:10 +0000,MerolaTile,"RT @ActionComplete: If you really want to do something, you'll find a way. If you don't...
~Jim Rohn
#motivation #quotes #NoExcuses https:/â€_"
2017-02-27 15:16:34 +0000,MerolaTile,Herringbone on the walls might be an interesting use for wood-look porcelain planks! #interiordesign https://t.co/0iKKKBdovD
2017-02-27 15:15:39 +0000,MerolaTile,Thanks for following! Hope you have a great start to the week! @DiamondStoneMty @Construct_Ed
2017-02-27 15:14:42 +0000,MerolaTile,Thanks for the follow! Happy Monday :) @AmtekPlastics @PTMImages @ZeroKitchens @CarleyKnobloch @Oceanview2892 @SwissKronoUSA @rhinostoneinfo
2017-02-27 15:13:02 +0000,MerolaTile,Thanks for joining our conversation! @artsolute @wsplastics @IDatBell @CBSFITOUT  @tqlkitchens  @BISDoors  @WoodcrestPaul  @ponsceramics
2017-02-27 15:01:14 +0000,MerolaTile,@LinnettChris @IntInvestments @mbplumbers @RossBioFuel @FloorsandUp @kingerleejoiner @Kindredliving_ @CanectEuropeanThanks for following! :)
2017-02-27 14:59:29 +0000,MerolaTile,Thanks for following! Have a great Monday :) @ShorelineIron @SidlerInternatl @hallgregoryrec @wilsonfink @TrenaoStone @rlewiscarpentry
2017-02-25 17:01:16 +0000,MerolaTile,Need some design inspiration? Check out these 20 Dreamy Kitchen ideas! https://t.co/3BIsx77PJf #hgtv #interiordesign https://t.co/D5AwIFKiNu
2017-02-24 18:01:38 +0000,MerolaTile,Are you a minimalist or a maximalist? Please RT with your approach to design!  https://t.co/irRcLOud3u #minimalism #interiordesign https://t.co/a1Edb4blQV
2017-02-23 23:00:53 +0000,MerolaTile,Techwood is such a beautiful line! Can't wait for these wood-look planks to finally arrive #interiordesign #flooring https://t.co/t36e2xJJ7p
2017-02-23 17:01:54 +0000,MerolaTile,A beautiful San Fransisco beach house with a mix of old and new! https://t.co/zMDNRRjM6Q #houzz #interiordesign https://t.co/HJt9c0gz0t
2017-02-23 15:01:09 +0000,MerolaTile,The last of our new Axis line -- Axis White! Which one is your favorite? https://t.co/iWLQbBAxRJ
2017-02-22 20:00:42 +0000,MerolaTile,Axis Cream 12x24s are sure to be the perfect piece to finish your project! #interiordesign https://t.co/QVSq0RxByg
2017-02-22 18:11:10 +0000,MerolaTile,RT @MckayBuild: Barn Conversions Design Masterclass https://t.co/GFrohUHUg9
2017-02-22 18:10:47 +0000,MerolaTile,@res_estates Gorgeous kitchen/dining room!
2017-02-22 18:08:12 +0000,MerolaTile,@Concept2013 Are those 12x24s? They look fantastic!
2017-02-22 18:07:40 +0000,MerolaTile,"RT @Play_Associates: See-through ""ceramic curtain"" creates green camouflage for Barcelona house by PMMT https://t.co/141q62bhrN via @dezeen"
2017-02-22 18:04:12 +0000,MerolaTile,RT @sage_conltd: Want to know what the big #home #trends are for #2017? We can help you achieve these is your home. https://t.co/irNNf4KBKWâ€_
2017-02-22 18:02:56 +0000,MerolaTile,"RT @NKInteriors: Serene bedroom with dusty pink, grey and crisp white from our Maidstone, #Kent project. #InteriorDesign #Love #Design httpâ€_"
